hybrid_id, fec,vmm,ch, threshold [mV]
0250401074100030c043a000a00000c7,2,2,7,247
0250401074100030c043a000a00000c7,2,2,8,254
0250401074100030c043a000a00000c7,2,2,9,250
0250401074100030c043a000a00000c7,2,2,10,251
0250401074100030c043a000a00000c7,2,2,11,250
0250401074100030c043a000a00000c7,2,2,12,250
0250401074100030c043a000a00000c7,2,2,13,246
0250401074100030c043a000a00000c7,2,2,14,251
0250401074100030c043a000a00000c7,2,2,15,248
0250401074100030c043a000a00000c7,2,2,16,250
0250401074100030c043a000a00000c7,2,2,17,249
0250401074100030c043a000a00000c7,2,2,18,250
0250401074100030c043a000a00000c7,2,2,19,253
0250401074100030c043a000a00000c7,2,2,20,250
0250401074100030c043a000a00000c7,2,2,21,246
0250401074100030c043a000a00000c7,2,2,22,250
0250401074100030c043a000a00000c7,2,2,23,248
0250401074100030c043a000a00000c7,2,2,24,249
0250401074100030c043a000a00000c7,2,2,25,248
0250401074100030c043a000a00000c7,2,2,26,252
0250401074100030c043a000a00000c7,2,2,27,250
0250401074100030c043a000a00000c7,2,2,28,249
0250401074100030c043a000a00000c7,2,2,29,250
0250401074100030c043a000a00000c7,2,2,30,249
0250401074100030c043a000a00000c7,2,2,31,252
0250401074100030c043a000a00000c7,2,2,32,251
0250401074100030c043a000a00000c7,2,2,33,249
0250401074100030c043a000a00000c7,2,2,34,247
0250401074100030c043a000a00000c7,2,2,35,250
0250401074100030c043a000a00000c7,2,2,36,252
0250401074100030c043a000a00000c7,2,2,37,251
0250401074100030c043a000a00000c7,2,2,38,252
0250401074100030c043a000a00000c7,2,2,39,248
0250401074100030c043a000a00000c7,2,2,40,250
0250401074100030c043a000a00000c7,2,2,41,250
0250401074100030c043a000a00000c7,2,2,42,252
0250401074100030c043a000a00000c7,2,2,43,252
0250401074100030c043a000a00000c7,2,2,44,249
0250401074100030c043a000a00000c7,2,2,45,249
0250401074100030c043a000a00000c7,2,2,46,250
0250401074100030c043a000a00000c7,2,2,47,247
0250401074100030c043a000a00000c7,2,2,48,250
0250401074100030c043a000a00000c7,2,2,49,252
0250401074100030c043a000a00000c7,2,2,50,250
0250401074100030c043a000a00000c7,2,2,51,250
0250401074100030c043a000a00000c7,2,2,52,247
0250401074100030c043a000a00000c7,2,2,53,249
0250401074100030c043a000a00000c7,2,2,54,251
0250401074100030c043a000a00000c7,2,2,55,247
0250401074100030c043a000a00000c7,2,2,56,252
0250401074100030c043a000a00000c7,2,2,57,249
0250401074100030c043a000a00000c7,2,2,58,250
0250401074100030c043a000a00000c7,2,2,59,251
0250401074100030c043a000a00000c7,2,2,60,250
0250401074100030c043a000a00000c7,2,2,61,254
0250401074100030c043a000a00000c7,2,2,62,252
0250401074100030c043a000a00000c7,2,2,63,250
hybrid_id, fec,vmm,ch, threshold [mV]
0250401074100030c043a000a00000c7,2,3,0,248
0250401074100030c043a000a00000c7,2,3,1,243
0250401074100030c043a000a00000c7,2,3,2,249
0250401074100030c043a000a00000c7,2,3,3,246
0250401074100030c043a000a00000c7,2,3,4,246
0250401074100030c043a000a00000c7,2,3,5,248
0250401074100030c043a000a00000c7,2,3,6,248
0250401074100030c043a000a00000c7,2,3,7,245
0250401074100030c043a000a00000c7,2,3,8,245
0250401074100030c043a000a00000c7,2,3,9,248
0250401074100030c043a000a00000c7,2,3,10,244
0250401074100030c043a000a00000c7,2,3,11,248
0250401074100030c043a000a00000c7,2,3,12,248
0250401074100030c043a000a00000c7,2,3,13,246
0250401074100030c043a000a00000c7,2,3,14,247
0250401074100030c043a000a00000c7,2,3,15,242
0250401074100030c043a000a00000c7,2,3,16,248
0250401074100030c043a000a00000c7,2,3,17,243
0250401074100030c043a000a00000c7,2,3,18,245
0250401074100030c043a000a00000c7,2,3,19,246
0250401074100030c043a000a00000c7,2,3,20,245
0250401074100030c043a000a00000c7,2,3,21,247
0250401074100030c043a000a00000c7,2,3,22,246
0250401074100030c043a000a00000c7,2,3,23,242
0250401074100030c043a000a00000c7,2,3,24,246
0250401074100030c043a000a00000c7,2,3,25,243
0250401074100030c043a000a00000c7,2,3,26,245
0250401074100030c043a000a00000c7,2,3,27,248
0250401074100030c043a000a00000c7,2,3,28,224
0250401074100030c043a000a00000c7,2,3,29,247
0250401074100030c043a000a00000c7,2,3,30,249
0250401074100030c043a000a00000c7,2,3,31,248
0250401074100030c043a000a00000c7,2,3,32,247
0250401074100030c043a000a00000c7,2,3,33,247
0250401074100030c043a000a00000c7,2,3,34,245
0250401074100030c043a000a00000c7,2,3,35,249
0250401074100030c043a000a00000c7,2,3,36,246
0250401074100030c043a000a00000c7,2,3,37,247
0250401074100030c043a000a00000c7,2,3,38,250
0250401074100030c043a000a00000c7,2,3,39,248
0250401074100030c043a000a00000c7,2,3,40,244
0250401074100030c043a000a00000c7,2,3,41,247
0250401074100030c043a000a00000c7,2,3,42,247
0250401074100030c043a000a00000c7,2,3,43,243
0250401074100030c043a000a00000c7,2,3,44,246
0250401074100030c043a000a00000c7,2,3,45,246
0250401074100030c043a000a00000c7,2,3,46,247
0250401074100030c043a000a00000c7,2,3,47,245
0250401074100030c043a000a00000c7,2,3,48,245
0250401074100030c043a000a00000c7,2,3,49,248
0250401074100030c043a000a00000c7,2,3,50,247
0250401074100030c043a000a00000c7,2,3,51,249
0250401074100030c043a000a00000c7,2,3,52,246
0250401074100030c043a000a00000c7,2,3,53,244
0250401074100030c043a000a00000c7,2,3,54,242
0250401074100030c043a000a00000c7,2,3,55,246
0250401074100030c043a000a00000c7,2,3,56,242
0250401074100030c043a000a00000c7,2,3,57,248
0250401074100030c043a000a00000c7,2,3,58,248
0250401074100030c043a000a00000c7,2,3,59,247
0250401074100030c043a000a00000c7,2,3,60,248
0250401074100030c043a000a00000c7,2,3,61,248
0250401074100030c043a000a00000c7,2,3,62,247
0250401074100030c043a000a00000c7,2,3,63,245
hybrid_id, fec,vmm,ch, threshold [mV]
025040107410003168d2a000a00000e2,2,4,0,250
025040107410003168d2a000a00000e2,2,4,1,250
025040107410003168d2a000a00000e2,2,4,2,246
025040107410003168d2a000a00000e2,2,4,3,246
025040107410003168d2a000a00000e2,2,4,4,245
025040107410003168d2a000a00000e2,2,4,5,248
025040107410003168d2a000a00000e2,2,4,6,247
025040107410003168d2a000a00000e2,2,4,7,249
025040107410003168d2a000a00000e2,2,4,8,245
025040107410003168d2a000a00000e2,2,4,9,249
025040107410003168d2a000a00000e2,2,4,10,249
025040107410003168d2a000a00000e2,2,4,11,246
025040107410003168d2a000a00000e2,2,4,12,246
025040107410003168d2a000a00000e2,2,4,13,247
025040107410003168d2a000a00000e2,2,4,14,247
025040107410003168d2a000a00000e2,2,4,15,248
025040107410003168d2a000a00000e2,2,4,16,246
025040107410003168d2a000a00000e2,2,4,17,252
025040107410003168d2a000a00000e2,2,4,18,247
025040107410003168d2a000a00000e2,2,4,19,248
025040107410003168d2a000a00000e2,2,4,20,245
025040107410003168d2a000a00000e2,2,4,21,247
025040107410003168d2a000a00000e2,2,4,22,248
025040107410003168d2a000a00000e2,2,4,23,250
025040107410003168d2a000a00000e2,2,4,24,246
025040107410003168d2a000a00000e2,2,4,25,246
025040107410003168d2a000a00000e2,2,4,26,247
